time_h,r_0_cm,r_0.5_cm,r_1_cm,r_1.5_cm,r_2_cm
6,1.016961089,0.98813212,0.9015237718,0.7550100336,0.532791717
12,0.4561451482,0.4431608698,0.4030743708,0.3297391921,0.1641894734
18,0.2988394554,0.2915489436,0.2687094936,0.2253005477,0.08447783261
24,0.2377969394,0.23273718,0.2167240113,0.1855485908,0.06647397948
30,0.2058218553,0.2018432389,0.1891657951,0.1640907769,0.05984075143
36,0.1858760791,0.1825282187,0.1718098414,0.1503740121,0.05664825626
42,0.1720646329,0.1691311179,0.159706109,0.1407011567,0.05485295091
48,0.1618262063,0.1591870917,0.1506846198,0.133429405,0.05373472445
54,0.1538659809,0.1514478662,0.1436400841,0.1277121371,0.05298612364
57.47277778,0.1499999885,0.1476866287,0.1402088298,0.1249144895,0.05265948367
